Unnamed: 0,username,name,description,user_char,followers_count,following_agentid_list,previous_tweets,activity_vector
10,xrb_010,Undercover010🐊,"🇦🇱
F*ck liefde heb gehoord dat je blind kan worden You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: 🇦🇱
F*ck liefde heb gehoord dat je blind kan worden You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",1737,[],[],"[0.08, 0.0, 0.02, 0.03, 0.01, 0.02, 0.17, 0.53, 0.37, 0.26, 0.42, 0.55, 0.55, 0.5, 0.53, 0.61, 0.72, 0.78, 0.84, 0.72, 0.6, 0.36, 0.19, 0.12]"
11,soyon_on_fire,SOYON_ON_FIRE,"ভালো_লাগলে_লাইক_কমেন্ট_এবং_শেয়ার_করবেন___ফলো_করতে_ভুলবেন_না🥀🥀🥀 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: ভালো_লাগলে_লাইক_কমেন্ট_এবং_শেয়ার_করবেন___ফলো_করতে_ভুলবেন_না🥀🥀🥀 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",1336,[],[],"[0.02, 0.0, 0.01, 0.03, 0.0, 0.05, 0.15, 0.5, 0.44, 0.34, 0.42, 0.46, 0.64, 0.54, 0.47, 0.61, 0.65, 0.76, 0.78, 0.67, 0.63, 0.43, 0.18, 0.08]"
12,laurenwolfe,Lauren Wolfe,"Hi besties
nyc
💕 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Hi besties
nyc
💕 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",1000000,[],[],"[0.77, 0.73, 0.55, 0.36, 0.16, 0.07, 0.07, 0.03, 0.05, 0.0, 0.14, 0.34, 0.45, 0.65, 0.66, 0.68, 0.81, 0.84, 0.84, 0.85, 0.9, 0.91, 0.9, 0.93]"
13,mybeautifulfantasy,Tik Toker,"No bio yet You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: No bio yet You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",6231,[],[],"[0.08, 0.0, 0.04, 0.06, 0.06, 0.05, 0.21, 0.53, 0.41, 0.32, 0.35, 0.48, 0.56, 0.54, 0.49, 0.62, 0.68, 0.78, 0.75, 0.69, 0.64, 0.37, 0.18, 0.14]"
14,itshoneydone,@itshoneydone | Kayla,"Let me help you turn your honey-do list into honey-DONE! Daily home tips & more! Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Let me help you turn your honey-do list into honey-DONE! Daily home tips & more! Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",288400,[],[],"[0.1, 0.08, 0.09, 0.0, 0.03, 0.15, 0.3, 0.48, 0.6, 0.67, 0.73, 0.78, 0.8, 0.75, 0.92, 0.87, 0.94, 0.89, 0.93, 0.83, 0.74, 0.56, 0.38, 0.2]"
15,curlyheadkay3,Hennessy🤎🦋,"Hair influencer 💈💇🏽‍♀️ 
Spread the gospel ✝️ 
God first 📖 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Hair influencer 💈💇🏽‍♀️ 
Spread the gospel ✝️ 
God first 📖 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",40400,[],[],"[0.13, 0.02, 0.01, 0.04, 0.03, 0.1, 0.28, 0.48, 0.56, 0.67, 0.74, 0.78, 0.82, 0.84, 0.93, 0.87, 0.87, 0.85, 0.85, 0.77, 0.75, 0.59, 0.43, 0.2]"
16,ryanmarkparsons,RYAN-MARK,"“Eccentric posho” — The Telegraph.
📧 Enquiries: david@asmtalent.co.uk You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: “Eccentric posho” — The Telegraph.
📧 Enquiries: david@asmtalent.co.uk You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",131900,[],[],"[0.07, 0.05, 0.06, 0.0, 0.04, 0.07, 0.32, 0.47, 0.56, 0.74, 0.71, 0.76, 0.82, 0.77, 0.88, 0.88, 0.92, 0.9, 0.87, 0.79, 0.66, 0.64, 0.41, 0.2]"
17,a3536363773,~🦋~,"👑 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 👑 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",144,[],[],"[0.03, 0.02, 0.0, 0.0, 0.04, 0.07, 0.21, 0.51, 0.35, 0.29, 0.44, 0.46, 0.64, 0.54, 0.46, 0.62, 0.71, 0.81, 0.8, 0.68, 0.58, 0.41, 0.19, 0.13]"
18,a.oakley03,a b b y ㋡,"nc
19
👻 : abbyoakleyyy 
stop lurking You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: nc
19
👻 : abbyoakleyyy 
stop lurking You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",755,[],[],"[0.07, 0.02, 0.05, 0.0, 0.05, 0.08, 0.22, 0.55, 0.38, 0.25, 0.41, 0.53, 0.62, 0.45, 0.46, 0.58, 0.72, 0.84, 0.77, 0.72, 0.62, 0.39, 0.23, 0.13]"
19,_lipsticklinz,_lipsticklinz,"Christian based makeup page✝️
Make your dreams reality.✨ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Christian based makeup page✝️
Make your dreams reality.✨ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",80400,[],[],"[0.06, 0.08, 0.02, 0.01, 0.03, 0.06, 0.32, 0.53, 0.65, 0.71, 0.67, 0.8, 0.8, 0.77, 0.86, 0.9, 0.87, 0.9, 0.89, 0.82, 0.69, 0.64, 0.43, 0.21]"
20,lottaavacada,LottaAvacada,"Most based verse:
2 Kings 2:23-24 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Most based verse:
2 Kings 2:23-24 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",33000,[],[],"[0.11, 0.09, 0.09, 0.08, 0.0, 0.12, 0.29, 0.5, 0.62, 0.67, 0.68, 0.82, 0.83, 0.84, 0.93, 0.85, 0.86, 0.93, 0.87, 0.78, 0.74, 0.64, 0.41, 0.17]"
21,1305.daniel,Osem15,"relapsing You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: relapsing You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",2231,[],[],"[0.0, 0.0, 0.03, 0.0, 0.0, 0.01, 0.18, 0.52, 0.38, 0.31, 0.36, 0.54, 0.56, 0.47, 0.5, 0.64, 0.73, 0.85, 0.83, 0.69, 0.59, 0.42, 0.18, 0.14]"
22,dkanik34,Prince,"Prince You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Prince You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",1042,[],[],"[0.02, 0.02, 0.0, 0.05, 0.0, 0.03, 0.18, 0.52, 0.37, 0.33, 0.35, 0.51, 0.63, 0.52, 0.47, 0.55, 0.73, 0.85, 0.82, 0.68, 0.63, 0.42, 0.19, 0.11]"
23,jessicaw521,Jessica81,"from Georgia love my family and friends. I like being outdoors. Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: from Georgia love my family and friends. I like being outdoors. Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",1694,[],[],"[0.05, 0.06, 0.04, 0.0, 0.0, 0.07, 0.17, 0.49, 0.41, 0.29, 0.35, 0.54, 0.64, 0.48, 0.51, 0.65, 0.73, 0.76, 0.78, 0.68, 0.63, 0.41, 0.16, 0.05]"
24,nbut_tia,Tya,"https://youtu.be/rqeQj198fNw You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: https://youtu.be/rqeQj198fNw You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",579,[],[],"[0.1, 0.04, 0.06, 0.0, 0.0, 0.07, 0.25, 0.48, 0.36, 0.29, 0.38, 0.49, 0.62, 0.54, 0.5, 0.57, 0.72, 0.81, 0.8, 0.74, 0.63, 0.38, 0.21, 0.12]"
25,jessica.m084,Jessica Meyer,"28 
5 year old 💙
1 year old 🩷 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: 28 
5 year old 💙
1 year old 🩷 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",31200,[],[],"[0.14, 0.06, 0.03, 0.02, 0.04, 0.06, 0.32, 0.49, 0.61, 0.69, 0.69, 0.76, 0.79, 0.81, 0.87, 0.9, 0.88, 0.92, 0.89, 0.83, 0.7, 0.6, 0.39, 0.25]"
26,jessoz0,JessO,"sprinter 🇳🇬
wellness & life 
insta: jess_ozo You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: sprinter 🇳🇬
wellness & life 
insta: jess_ozo You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",6,[],[],"[0.03, 0.02, 0.04, 0.04, 0.05, 0.02, 0.18, 0.5, 0.42, 0.27, 0.37, 0.5, 0.58, 0.53, 0.48, 0.58, 0.75, 0.84, 0.81, 0.7, 0.62, 0.4, 0.25, 0.06]"
27,jesuthasanjesu344gmail.c,jesuthasanjesu,"l am only single no love 💔  no girls friend i am very  happy 😊 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: l am only single no love 💔  no girls friend i am very  happy 😊 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",1460,[],[],"[0.04, 0.05, 0.03, 0.05, 0.0, 0.1, 0.24, 0.47, 0.42, 0.32, 0.44, 0.54, 0.62, 0.54, 0.47, 0.58, 0.69, 0.83, 0.77, 0.67, 0.56, 0.38, 0.23, 0.07]"
28,dream_boy__777,Manish Roy 👑,"Dance+2 Live show in mumbai😘Love You Dance+ 
click link New Photo Editing video You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Dance+2 Live show in mumbai😘Love You Dance+ 
click link New Photo Editing video You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",6767,[],[],"[0.07, 0.03, 0.0, 0.0, 0.04, 0.05, 0.17, 0.54, 0.45, 0.35, 0.37, 0.55, 0.57, 0.45, 0.54, 0.64, 0.68, 0.77, 0.79, 0.7, 0.58, 0.39, 0.23, 0.11]"
29,ladybug.223,Ladybug,"Mom of 2
🌈Taken
everyone matters
your enough You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Mom of 2
🌈Taken
everyone matters
your enough You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",10500,[],[],"[0.14, 0.03, 0.01, 0.08, 0.05, 0.1, 0.32, 0.53, 0.63, 0.72, 0.67, 0.82, 0.76, 0.79, 0.91, 0.88, 0.88, 0.92, 0.93, 0.83, 0.65, 0.64, 0.43, 0.25]"
30,manatan0127,まなみん。,"アラサー代表目指してます。

pococha毎日配信してます！
⬇️から飛べるよ📲 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: アラサー代表目指してます。

pococha毎日配信してます！
⬇️から飛べるよ📲 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",88700,[],[],"[0.11, 0.04, 0.07, 0.02, 0.1, 0.08, 0.35, 0.47, 0.61, 0.69, 0.66, 0.8, 0.8, 0.83, 0.94, 0.86, 0.87, 0.95, 0.87, 0.77, 0.71, 0.62, 0.42, 0.15]"
31,bhawaniyogi165,Bhawani Yogi,"Nagour___    RJ21____
  Bhawani yogi___
           दबंगों का क्षेत्र_____नागौर You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Nagour___    RJ21____
  Bhawani yogi___
           दबंगों का क्षेत्र_____नागौर You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",27000,[],[],"[0.08, 0.1, 0.08, 0.1, 0.02, 0.06, 0.34, 0.46, 0.56, 0.7, 0.66, 0.79, 0.82, 0.79, 0.85, 0.87, 0.89, 0.86, 0.88, 0.84, 0.68, 0.58, 0.39, 0.23]"
32,grayson__o,Grayson,"Yeet Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Yeet Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",27400,[],[],"[0.14, 0.04, 0.06, 0.1, 0.07, 0.13, 0.26, 0.54, 0.61, 0.71, 0.66, 0.78, 0.82, 0.79, 0.91, 0.92, 0.91, 0.85, 0.91, 0.83, 0.74, 0.56, 0.44, 0.2]"
33,_salinasincerely,_salinasincerely,"Over 50- still figuring sh*t out! Follow me on Instagram! Salina_sincerely You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Over 50- still figuring sh*t out! Follow me on Instagram! Salina_sincerely You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",11700,[],[],"[0.07, 0.04, 0.04, 0.03, 0.09, 0.07, 0.25, 0.55, 0.62, 0.7, 0.75, 0.79, 0.76, 0.79, 0.87, 0.95, 0.94, 0.9, 0.89, 0.8, 0.72, 0.57, 0.41, 0.16]"
34,divya_angural786,DIVYA ANGURAL,"ਪਰੋਸਾ ਕਰਨਾ ਕੀਯੋ ਗੈਰਾ ਤੇ ਜਦ ਚਲਣਾ ਆਪਣੇ ਪੈਰਾਂ ਤੇ    miss u veer g😔 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: ਪਰੋਸਾ ਕਰਨਾ ਕੀਯੋ ਗੈਰਾ ਤੇ ਜਦ ਚਲਣਾ ਆਪਣੇ ਪੈਰਾਂ ਤੇ    miss u veer g😔 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",16000,[],[],"[0.05, 0.08, 0.01, 0.06, 0.0, 0.14, 0.29, 0.48, 0.57, 0.69, 0.65, 0.81, 0.84, 0.81, 0.93, 0.93, 0.88, 0.93, 0.88, 0.76, 0.72, 0.6, 0.41, 0.19]"
35,baubleandbeam,bauble and beam jewelry!,"effortlessly YOU.
shop link in in IG bio!
EVERYTHING water safe You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: effortlessly YOU.
shop link in in IG bio!
EVERYTHING water safe You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",2258,[],[],"[0.05, 0.0, 0.0, 0.0, 0.04, 0.01, 0.21, 0.48, 0.42, 0.32, 0.43, 0.45, 0.64, 0.47, 0.48, 0.65, 0.67, 0.85, 0.83, 0.67, 0.56, 0.4, 0.19, 0.06]"
36,fabioygeh,Fabio Corrêa de Alme,"digite meu código 232202316 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: digite meu código 232202316 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",821,[],[],"[0.07, 0.03, 0.06, 0.0, 0.04, 0.04, 0.17, 0.48, 0.41, 0.25, 0.44, 0.54, 0.61, 0.47, 0.47, 0.55, 0.67, 0.79, 0.8, 0.67, 0.6, 0.37, 0.22, 0.1]"
37,avs2704,Av,"🍓 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 🍓 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",133,[],[],"[0.09, 0.02, 0.0, 0.02, 0.02, 0.07, 0.16, 0.52, 0.38, 0.33, 0.43, 0.51, 0.59, 0.55, 0.54, 0.57, 0.71, 0.81, 0.82, 0.74, 0.56, 0.36, 0.16, 0.09]"
38,farahn75,Riyaz14,"follow me guys👈👈🌷🌷💔💖👌👌🙏🙏
                  Riyaz.14🙏🙏👌👌 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: follow me guys👈👈🌷🌷💔💖👌👌🙏🙏
                  Riyaz.14🙏🙏👌👌 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",20600,[],[],"[0.09, 0.09, 0.09, 0.07, 0.06, 0.11, 0.27, 0.49, 0.58, 0.66, 0.68, 0.79, 0.8, 0.84, 0.9, 0.91, 0.9, 0.92, 0.9, 0.83, 0.75, 0.64, 0.38, 0.2]"
39,ummylkheiry,ummylkheiry,"CEO @ummyoutfitcollection
Bella ummy🇴🇲🇹🇿
🚨DO NOT LIKE MORE THAN 3 VIDEOS🚨 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: CEO @ummyoutfitcollection
Bella ummy🇴🇲🇹🇿
🚨DO NOT LIKE MORE THAN 3 VIDEOS🚨 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",72000,[],[],"[0.1, 0.08, 0.08, 0.01, 0.06, 0.1, 0.3, 0.5, 0.61, 0.74, 0.73, 0.84, 0.84, 0.79, 0.93, 0.94, 0.91, 0.88, 0.91, 0.84, 0.65, 0.64, 0.42, 0.18]"
40,electrony,Electrony,"تابعنا و خلك أول بأول مع جديد التقنية You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: تابعنا و خلك أول بأول مع جديد التقنية You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",346700,[],[],"[0.09, 0.01, 0.08, 0.03, 0.05, 0.08, 0.3, 0.51, 0.63, 0.72, 0.75, 0.81, 0.83, 0.82, 0.85, 0.94, 0.89, 0.86, 0.93, 0.77, 0.67, 0.59, 0.42, 0.25]"
41,lisababy21_,LisaBaby21_,"Follow my Instagram @_aafj 😏 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Follow my Instagram @_aafj 😏 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",83,[],[],"[0.03, 0.0, 0.03, 0.0, 0.0, 0.06, 0.17, 0.52, 0.44, 0.29, 0.38, 0.48, 0.57, 0.48, 0.5, 0.56, 0.72, 0.78, 0.82, 0.69, 0.61, 0.42, 0.19, 0.09]"
42,simobmd10,virtuose BMD,"فيديوهاتي ليست للشهرة بل للمتعة فقط
Instagram :  el_alaoui_53 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: فيديوهاتي ليست للشهرة بل للمتعة فقط
Instagram :  el_alaoui_53 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",42600,[],[],"[0.09, 0.1, 0.07, 0.06, 0.02, 0.07, 0.26, 0.54, 0.61, 0.72, 0.65, 0.85, 0.83, 0.77, 0.87, 0.87, 0.88, 0.9, 0.89, 0.78, 0.71, 0.56, 0.38, 0.19]"
43,1musictay,T.A.Y.,"T.A.Y. 
Stream my music below!
Follow my IG: _2damnpretty You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: T.A.Y. 
Stream my music below!
Follow my IG: _2damnpretty You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",14400,[],[],"[0.06, 0.06, 0.01, 0.02, 0.03, 0.14, 0.32, 0.5, 0.55, 0.72, 0.69, 0.83, 0.78, 0.76, 0.94, 0.87, 0.89, 0.88, 0.86, 0.83, 0.73, 0.65, 0.39, 0.25]"
44,hdpsoyyoxd,xd,"Lit killah mi varón :v 
Y ✨Litiago existe xd✨ You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Lit killah mi varón :v 
Y ✨Litiago existe xd✨ You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",75,[],[],"[0.08, 0.0, 0.03, 0.0, 0.0, 0.06, 0.19, 0.49, 0.4, 0.32, 0.45, 0.5, 0.59, 0.46, 0.47, 0.65, 0.74, 0.84, 0.81, 0.67, 0.61, 0.36, 0.2, 0.14]"
